Year,Avg. Pace,Player,Team,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior ASG Appearances,AS Last Year
2020,99.5,Jusuf Nurkić,POR,5,12,31,18,9.8,7.7,2.8,0.9,0.9,1.9,0.514,0.3,0.3,21.1,10.3,0,0
2020,99.5,Juwan Morgan,UTA,1,14,32,26,1.1,1,0.2,0.2,0,0.1,0.526,0.2,0.1,10.6,3.3,0,0
2020,99.5,Karim Mané,ORL,13,6,33,13,1.2,1.7,0.2,0,0.2,0.5,0.325,0.2,0,10.5,2.1,0,0
2020,99.5,Karl-Anthony Towns,MIN,15,13,33,7,22.5,10.7,4.2,1,1.8,3.1,0.631,1.9,0.5,26.9,16,2,0
2020,99.5,Keita Bates-Diop,SAS,6,9,28,16,1.6,0.8,0.4,0.6,0,0,0.4,0.1,0.1,16,7.3,0,0
2020,99.5,Kelan Martin,IND,4,11,30,15,1.3,1,0,0.2,0,0.4,0.389,0.2,0.1,22.2,6.6,0,0
2020,99.5,Keldon Johnson,SAS,6,27,28,16,14.5,7,2.3,0.8,0.5,1.5,0.556,1,1,20.7,10.2,0,0
2020,99.5,Keljin Blevins,POR,5,9,31,18,0.4,0.2,0.4,0.2,0,0.3,0.182,0,0,12.8,-2.3,0,0
2020,99.5,Kelly Olynyk,MIA,10,31,32,15,10,5.8,2.1,0.7,0.6,1.4,0.553,1.9,1.1,17.7,8.2,0,0
2020,99.5,Kelly Oubre Jr.,GSW,7,33,33,18,15.2,6,1.4,1.2,0.8,1.2,0.519,1.7,1.4,22.2,9.3,0,0
2020,99.5,Kendrick Nunn,MIA,10,24,32,15,14.3,3.4,2.8,1.2,0.3,1.9,0.582,2.1,0.8,21.1,9.5,0,0
2020,99.5,Kenrich Williams,OKC,12,32,32,13,5.6,4.1,1.7,0.8,0.2,0.9,0.596,0.5,0.8,13.1,9.2,0,0
2020,99.5,Kent Bazemore,GSW,7,31,33,18,6.6,3.1,1.6,0.9,0.5,1.1,0.624,1.1,0.9,16.2,9.4,0,0
2020,99.5,Kentavious Caldwell-Pope,LAL,3,29,33,22,8.9,2.3,1.4,0.7,0.3,1.1,0.595,1.6,1,14.3,5.8,0,0
2020,99.5,Kenyon Martin Jr.,HOU,14,7,30,11,3.3,2.7,0.6,0.3,0.7,0.7,0.394,0.1,0.1,21.1,5.2,0,0
2020,99.5,Kevin Durant,BRK,2,19,34,22,29,7.3,5.3,0.7,1.4,3.5,0.652,2.6,0.7,31.3,16.3,11,0
2020,99.5,Kevin Huerter,ATL,11,32,32,14,11.8,3.5,3.7,1.2,0.2,1.3,0.544,2.2,0.6,16.3,7.6,0,0
2020,99.5,Kevin Knox,NYK,6,24,33,16,5.3,2,0.7,0.3,0.3,0.7,0.528,1.1,0.4,15.8,5.6,0,0
2020,99.5,Kevin Love,CLE,14,2,33,12,9.5,6,2.5,0.5,0,1.5,0.47,1.5,0,21.7,9.7,5,0
2020,99.5,Kevon Looney,GSW,7,23,33,18,3.6,4.3,1.8,0.3,0.3,0.7,0.651,0.1,0.4,9.7,9.2,0,0
2020,99.5,Khem Birch,ORL,13,33,33,13,6.1,5.5,1.1,0.6,0.8,0.6,0.566,0.1,0.8,12.5,9,0,0
2020,99.5,Killian Hayes,DET,15,7,32,9,4.6,1.1,3.6,0.3,0,2.4,0.334,0.7,0,19,-0.1,0,0
2020,99.5,Kira Lewis Jr.,NOP,11,20,32,14,5,0.8,1.9,0.6,0.1,0.5,0.459,0.6,0.1,19.4,5.7,0,0
2020,99.5,Kostas Antetokounmpo,LAL,3,2,33,22,0.5,2.5,0,0,1,1.5,0.174,0,0,19.7,1.4,0,0
